"Channel","Programmes","Source","Tried"
"RACING TV","46","sky.com (Racing TV HD)","sky.com=46, virgintvgo.virginmedia.com=49, tvireland.ie=44"
"REALLY","50","sky.com (Really)","sky.com=50, freeview.co.uk=50, virgintvgo.virginmedia.com=50, player.ee.co.uk=50"
"RTE JUNIOR","143","tvireland.ie (RTE Jr)","tvireland.ie=143, entertainment.ie=0, sky.com=144"
"RTE ONE","52","sky.com (RTÉ One HD)","sky.com=52, freeview.co.uk=51, tvireland.ie=60, entertainment.ie=0"
"RTE TWO","57","sky.com (RTÉ2 HD)","sky.com=57, freeview.co.uk=56, tvireland.ie=56, entertainment.ie=0"
"S4C HD","78","sky.com (S4C HD)","sky.com=78, freeview.co.uk=38, virgintvgo.virginmedia.com=81"
"SKY ARTS","39","sky.com (Sky Arts HD)","sky.com=39, freeview.co.uk=38, virgintvgo.virginmedia.com=43, player.ee.co.uk=40"
"SKY ATLANTIC","46","sky.com (Sky Atlantic HD)","sky.com=46, player.ee.co.uk=49, tvireland.ie=45, entertainment.ie=0"
"SKY CINEMA ACTION","28","player.ee.co.uk (Sky Cinema Action HD)","player.ee.co.uk=28, tvireland.ie=24, entertainment.ie=0, sky.com=25"
"SKY CINEMA ANIMATION","24","sky.com (SkyAnimationHD)","sky.com=24, virgintvgo.virginmedia.com=0, player.ee.co.uk=0, tvireland.ie=0"
"SKY CINEMA COMEDY","33","player.ee.co.uk (Sky Cinema Comedy HD)","player.ee.co.uk=33, tvireland.ie=29, entertainment.ie=0, sky.com=30"
"SKY CINEMA DRAMA","28","player.ee.co.uk (Sky Cinema Drama HD)","player.ee.co.uk=28, entertainment.ie=0, sky.com=25, virgintvgo.virginmedia.com=32"
"SKY CINEMA FAMILY","32","player.ee.co.uk (Sky Cinema Family HD)","player.ee.co.uk=32, tvireland.ie=28, entertainment.ie=0, sky.com=29"
"SKY CINEMA GREATS","30","player.ee.co.uk (Sky Cinema Greats HD)","player.ee.co.uk=30, entertainment.ie=0, sky.com=27, virgintvgo.virginmedia.com=34"
"SKY CINEMA HITS","28","player.ee.co.uk (Sky Cinema Hits HD)","player.ee.co.uk=28, tvireland.ie=24, entertainment.ie=0, sky.com=25"
"SKY CINEMA PREMIERE","30","player.ee.co.uk (Sky Cinema Premiere HD)","player.ee.co.uk=30, tvireland.ie=26, entertainment.ie=0, sky.com=27"
"SKY CINEMA SCIFI/HORROR","29","player.ee.co.uk (Sky Cinema Sci-Fi Horror HD)","player.ee.co.uk=29, tvireland.ie=25, entertainment.ie=0, sky.com=26"
"SKY CINEMA THRILLER","28","player.ee.co.uk (Sky Cinema Thriller HD)","player.ee.co.uk=28, tvireland.ie=24, entertainment.ie=0, sky.com=25"
"SKY CRIME","52","sky.com (Sky Crime HD)","sky.com=52, virgintvgo.virginmedia.com=55, player.ee.co.uk=54, tvireland.ie=52"
