"Channel","Programmes","Source","Tried"
"DiscoveryScience.ca","64","tvpassport.com (CTV Nature Canada)","tvpassport.com=64"
"DisneyChannel.ca","120","tvpassport.com (Disney Channel Canada - East)","tvpassport.com=120, tvtv.us=0"
"DisneyChannel.us","78","tvpassport.com (Disney - Eastern Feed)","tvpassport.com=78, tvguide.com=87, tvtv.us=0"
"DisneyJunior.us","111","tvpassport.com (Disney Junior USA - East)","tvpassport.com=111, tvguide.com=120, tvtv.us=0"
"DisneyXD.us","91","tvpassport.com (Disney XD USA - Eastern Feed)","tvpassport.com=91, tvguide.com=103, tvtv.us=0"
"ESPN.us","44","tvguide.com (ESPN)","tvpassport.com=34, tvguide.com=44, ontvtonight.com=34"
"ESPN2.us","42","tvpassport.com (ESPN2 HD)","tvpassport.com=42, tvguide.com=52, ontvtonight.com=40"
"ESPNDeportes.us","0","","tvtv.us=0"
"ESPNews.us","61","tvpassport.com (ESPN News HD)","tvpassport.com=61, tvguide.com=72, ontvtonight.com=61"
"ESPNU.us","44","tvguide.com (ESPNU)","tvpassport.com=33, tvguide.com=44, ontvtonight.com=33"
"FoodNetwork.ca","60","tvpassport.com (Flavour Network DV)","tvpassport.com=60"
"FoodNetwork.us","70","tvpassport.com (Food Network USA - Eastern Feed)","tvpassport.com=70, tvguide.com=81, tvtv.us=0"
"Fox.us","39","tvguide.com (FOX)","tvpassport.com=25, tvguide.com=39, tvtv.us=0"
"FoxBusinessNetwork.us","69","tvpassport.com (Fox Business HD)","tvpassport.com=69, tvguide.com=83, tvtv.us=0"
"FoxDeportes.us","45","tvpassport.com (Fox Deportes HD)","tvpassport.com=45, tvtv.us=0"
"FoxNewsChannel.us","47","tvguide.com (Fox News)","tvpassport.com=33, tvguide.com=47, tvtv.us=0"
"FoxSoccerPlus.us","35","tvpassport.com (FOX Soccer Plus HD)","tvpassport.com=35, tvtv.us=0"
"FoxSports1.us","36","tvguide.com (FOX Sports 1)","tvguide.com=36"
"FoxSports2.us","47","tvguide.com (FOX Sports 2)","tvguide.com=47"
"FoxSportsRacing.us","50","tvpassport.com (Fox Sports Racing)","tvpassport.com=50"
"FoxWeather.us","16","tvpassport.com (Fox Weather)","tvpassport.com=16, tvtv.us=0"
"FX.ca","60","tvpassport.com (FX Networks Canada)","tvpassport.com=60"
"FX.us","37","tvguide.com (FX)","tvpassport.com=26, tvguide.com=37, tvtv.us=0"
"FXMovieChannel.us","36","tvguide.com (FX Movie)","tvpassport.com=26, tvguide.com=36, tvtv.us=0"
"FXX.ca","66","tvpassport.com (FXX Canada)","tvpassport.com=66"
"FXX.us","96","tvpassport.com (FXX USA - Eastern)","tvpassport.com=96, tvguide.com=108, tvtv.us=0"
"GlobalNewsBC1.ca","60","tvpassport.com (Global BC)","tvpassport.com=60"
"GolfChannel.us","30","tvguide.com (Golf)","tvpassport.com=19, tvguide.com=30, tvtv.us=0"
"HBO.us","50","tvpassport.com (HBO - Eastern Feed)","tvpassport.com=50, tvguide.com=60, ontvtonight.com=49"
